No;Kode Part;Desc Part;Gudang Part;Lokasi Part;ONHAND;BOOKING;AVS
1153;53206KYZ900ZH;COVER HDL RR(BLK);GUDANG UTAMA BAHAGIA MOTOR;B3.02.1.1;1;0;1
1154;53206KZLA00ZA;COVER HDL RR;GUDANG UTAMA BAHAGIA MOTOR;B3.02.2.1;5;0;5
1155;53206KZR600ZK;COVER HDL RR(BLK);GUDANG UTAMA BAHAGIA MOTOR;B3.02.3.1;2;0;2
1156;53207K56N10ZD;COVER R HDL TOP (MT GN BL);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1157;53207K93N00FMB;COVER RING, SPDMT (BLK);GUDANG UTAMA BAHAGIA MOTOR;B4.04.4.3;1;0;1
1158;53207KPH700;COVER SPEEDOMETER(SLV);GUDANG UTAMA BAHAGIA MOTOR;B4.04.4.3;6;0;6
1159;53208K46N00ZA;COVER SPDMTR(DG SL MT);GUDANG UTAMA BAHAGIA MOTOR;A3.01.7.4;0;0;0
1160;53208K56N10ZA;COVER L HDL TOP (CN PM RD);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1161;53208K56N10ZD;COVER L HDL TOP (MT GN BL);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1162;53208K59A10AFB;COVER SPDMT (AF BK MT);GUDANG UTAMA BAHAGIA MOTOR;B2.06.3.1;1;0;1
1163;53208K59A10FMB;COVER SPDMT (BLK);GUDANG UTAMA BAHAGIA MOTOR;B2.06.3.1;1;0;1
1164;53208K59A10MGB;COVER SPDMT (MT GN BL);GUDANG UTAMA BAHAGIA MOTOR;B2.06.3.1;1;0;1
1165;53208K59A70ZC;CVR, HNDLE FR TOP(MT GN BL);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1166;5320AK07900;COVER HDL FR ASSY;GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;1;0;1
1167;5320BK59A10;STEM ASSY STRG;GUDANG UTAMA BAHAGIA MOTOR;C2.01.1.1;1;0;1
1168;5320BKVB930;COVER ASSY HDL RR;GUDANG UTAMA BAHAGIA MOTOR;B3.02.1.1;1;0;1
1169;5320CK07900;COVER HDL RR SET;GUDANG UTAMA BAHAGIA MOTOR;B3.04.1.1;1;0;1
